brand,model,aggregateRating/ratingValue,aggregateRating/reviewCount,offers/price,offers/priceCurrency,depth,width,features/0/description,features/1/description
Microsoft,RIP-00001,4.8,157.0,,USD,9.6,13.4,Find the relevant information and ideas you need to power your own ingenuity. Copilot in Windows 11 can deliver answers that are more relevant to you(1).,"Family, friends, passions, music, creations – Windows 11 is the one place for it all. With a fresh new feel and tools that make it easier to be efficient, it has what you need for whatever’s next."
ASUS,M1603QA-R712512,4.7,808.0,,USD,9.82,14.12,"Windows 11 has all the power and security of Windows 10 with a redesigned and refreshed look. It also comes with new tools, sounds, and apps. Every detail has been considered. All of it comes together to bring you a refreshing experience on your PC.",The 1920 x 1080 resolution boasts impressive color and clarity. Energy-efficient LED backlight.
Microsoft,RBG-00001,4.7,170.0,,USD,8.8,12.1,Find the relevant information and ideas you need to power your own ingenuity. Copilot in Windows 11 can deliver answers that are more relevant to you(1).,"Family, friends, passions, music, creations – Windows 11 is the one place for it all. With a fresh new feel and tools that make it easier to be efficient, it has what you need for whatever’s next."
Microsoft,5PB-00027/5PB-00001,4.6,338.0,,USD,8.8,12.1,Find the relevant information and ideas you need to power your own ingenuity. Copilot in Windows 11 can deliver answers that are more relevant to you(1).,"Family, friends, passions, music, creations – Windows 11 is the one place for it all. With a fresh new feel and tools that make it easier to be efficient, it has what you need for whatever’s next."
ASUS,GA402XI-G14.R94070,4.3,60.0,,USD,8.95,12.31,"Family, friends, passions, music, creations, games – Windows 11 is the one place for it all. With a fresh new feel and tools that make it easier to be efficient, it has what you need for whatever’s next.",The 165Hz ultra bright 500 nits display features a 2560 x 1440 (QHD) resolution that gives you more space for toolbars and tabs.
Lenovo,83B1001WUS,4.7,365.0,,USD,9.06,12.52,"Windows 11 brings back the Start Menu from Windows 7 and introduces new features, like the Edge Web browser that lets you markup Web pages on your screen.",Find the relevant information and ideas you need to power your own ingenuity. Copilot in Windows 11 can deliver answers that are more relevant to you.
ASUS,GA402XV-G14.R94060,4.5,704.0,,USD,8.95,12.31,"Family, friends, passions, music, creations, games – Windows 11 is the one place for it all. With a fresh new feel and tools that make it easier to be efficient, it has what you need for whatever’s next.",The 165Hz ultra bright 500 nits display features a 2560 x 1440 (QHD) resolution that gives you more space for toolbars and tabs.
HP,14-ey0023dx,4.6,14.0,,USD,8.94,12.36,"From a rejuvenated Start menu, to new ways to connect to your favorite people, news, games, and content—Windows 11 is the place to think, express, and create in a natural way.",Experience a whole new level of speed and power in a laptop powered by AMD Ryzen processors.
Samsung,NP960QFG-KA1US,4.6,538.0,,USD,13.99,9.93,"Creatives, go getters and visionaries, here’s a PC that’s ready to help you create the life you love. Empower your imagination with Galaxy Book3 Pro 360, featuring a powerful processor that helps creative minds thrive it’s the latest design by Intel.","Create in all the places that spark your imagination with a thin, lightweight design that’s made to move with you."
Dell,XPS9320-7688BLK-PUS,4.5,161.0,,USD,7.84,11.63,"Windows 11 has all the power and security of Windows 10 with a redesigned and refreshed look. It also comes with new tools, sounds, and apps. Every detail has been considered. All of it comes together to bring you a refreshing experience on your PC",Natural finger-touch navigation makes the most of Windows 11. 3456 x 2160 resolution showcases your games and HD movies with impressive color and clarity. Antireflective finish reduces eyestrain and widens the field of view.
Microsoft,XK1-00011,4.7,222.0,,USD,10.95,8.12,Find the relevant information and ideas you need to power your own ingenuity. Copilot in Windows 11 can deliver answers that are more relevant to you(1).,"Handle whatever the day throws at you, wherever you are, with faster performance, all-day battery life¹, and Windows 11."
Microsoft,RIP-00026,4.8,157.0,,USD,9.6,13.4,Find the relevant information and ideas you need to power your own ingenuity. Copilot in Windows 11 can deliver answers that are more relevant to you(1).,"Family, friends, passions, music, creations – Windows 11 is the one place for it all. With a fresh new feel and tools that make it easier to be efficient, it has what you need for whatever’s next."
Lenovo,83BS0001US,4.8,128.0,,USD,9.85,14.26,"Windows 11 brings back the Start Menu from Windows 7 and introduces new features, like the Edge Web browser that lets you markup Web pages on your screen.",Find the relevant information and ideas you need to power your own ingenuity. Copilot in Windows 11 can deliver answers that are more relevant to you.
Acer,PH16-71-93FR,4.3,89.0,1849.99,USD,10.88,14.15,"Windows 11 was designed with you at the center - to make life easier, more creative, secure, connected and fun! It's also faster with new features to help you get more done.","At 16” with a 16:10 aspect ratio, the WQXGA LED panel clocks in with a fast 240Hz refresh & 3ms Overdrive response time. With NVIDIA G-SYNC and NVIDIA Advanced Optimus, you're guaranteed that games, movies, and whatever's on-screen – all benefit from extreme levels of performance."
Lenovo,82YQ0007US,4.6,197.0,,USD,8.03,11.78,"Windows 11 brings back the Start Menu from Windows 7 and introduces new features, like the Edge Web browser that lets you markup Web pages on your screen.",Find the relevant information and ideas you need to power your own ingenuity. Copilot in Windows 11 can deliver answers that are more relevant to you.
Microsoft,XK1-00059,4.7,222.0,,USD,10.95,8.12,Find the relevant information and ideas you need to power your own ingenuity. Copilot in Windows 11 can deliver answers that are more relevant to you(1).,"Handle whatever the day throws at you, wherever you are, with faster performance, all-day battery life¹, and Windows 11."
Lenovo,82WK0069US,4.2,69.0,,USD,10.25,14.31,"Windows 11 brings back the Start Menu from Windows 7 and introduces new features, like the Edge Web browser that lets you markup Web pages on your screen.",Find the relevant information and ideas you need to power your own ingenuity. Copilot in Windows 11 can deliver answers that are more relevant to you.
MSI,BRAVO15B7001,4.4,109.0,649.99,USD,,,"Windows 11 has all the power and security of Windows 10 with a redesigned and refreshed look. It also comes with new tools, sounds, and apps. Every detail has been considered. All of it comes together to bring you a refreshing experience on your PC.",The 1920 x 1080 resolution with 144hz refresh and 3ms response time boasts impressive color and clarity. Energy-efficient LED backlight.
Dell,XPS9530-9565SLV-PUS,4.5,108.0,,USD,9.06,13.57,"Windows 11 has all the power and security of Windows 10 with a redesigned and refreshed look. It also comes with new tools, sounds, and apps. Every detail has been considered. All of it comes together to bring you a refreshing experience on your PC","Content comes alive with breathtaking detail with vivid, TRUE-to-life color on the OLED display with 3456 x2160 resolution. Natural finger-touch navigation makes the most of Windows 11."
Microsoft,XK1-00006,4.7,222.0,,USD,10.95,8.12,Find the relevant information and ideas you need to power your own ingenuity. Copilot in Windows 11 can deliver answers that are more relevant to you(1).,"Handle whatever the day throws at you, wherever you are, with faster performance, all-day battery life¹, and Windows 11."
Dell,i7630-7305BLU-PUS,4.6,184.0,,USD,9.91,14.05,"Windows 11 has all the power and security of Windows 10 with a redesigned and refreshed look. It also comes with new tools, sounds, and apps. Every detail has been considered. All of it comes together to bring you a refreshing experience on your PC",Natural finger-touch navigation makes the most of Windows 11. 3840 x 2400 resolution showcases your games and HD movies with impressive color and clarity. Antireflective finish reduces eyestrain and widens the field of view.
Lenovo,83B2001UUS,4.7,444.0,,USD,8.58,11.97,"Windows 11 brings back the Start Menu from Windows 7 and introduces new features, like the Edge Web browser that lets you markup Web pages on your screen.",Find the relevant information and ideas you need to power your own ingenuity. Copilot in Windows 11 can deliver answers that are more relevant to you.
Samsung,NP750XFH-XB1US,3.5,2.0,,USD,14.04,9.02,"Welcome to power, Galaxy style. Breeze through all the things you need to do with a processor that’s ready to help you take on the day.","Grab it and go. With a thin, light design that’s made to move with you, Galaxy Book3 is always ready to help you own the day anywhere you go."
Microsoft,QEZ-00035,4.7,655.0,,USD,8.2,11.3,Find the relevant information and ideas you need to power your own ingenuity. Copilot in Windows 11 can deliver answers that are more relevant to you(1).,Surface Pro 9 gives you the tablet flexibility you want and the laptop performance and battery life⁴ you need to move through your day — all in one ultra-portable device.
HP,14-ef2013dx,4.6,378.0,,USD,8.68,11.73,"From a rejuvenated Start menu, to new ways to connect to your favorite people, news, games, and content—Windows 11 is the place to think, express, and create in a natural way.",Intuitive touchscreen technology lets you control your PC right from the screen. And transform your content with 1920 x 1200 resolution and 178-degree wide-viewing angles.
Lenovo,83B2001TUS,4.7,164.0,,USD,8.58,11.97,"Windows 11 brings back the Start Menu from Windows 7 and introduces new features, like the Edge Web browser that lets you markup Web pages on your screen.",Find the relevant information and ideas you need to power your own ingenuity. Copilot in Windows 11 can deliver answers that are more relevant to you.
Lenovo,82YQ003RUS,4.6,22.0,,USD,8.03,11.78,"Windows 11 brings back the Start Menu from Windows 7 and introduces new features, like the Edge Web browser that lets you markup Web pages on your screen.",Find the relevant information and ideas you need to power your own ingenuity. Copilot in Windows 11 can deliver answers that are more relevant to you.
HP OMEN,16-wd0063dx,4.7,425.0,,USD,10.21,14.53,"From a rejuvenated Start menu, to new ways to connect to your favorite people, news, games, and content—Windows 11 is the place to think, express, and create in a natural way.","Reduce frustrating lag and image ghosting with a display that combines a 144Hz refresh rate and 1080p Full High Definition resolution for smooth, crisp gameplay."
HP,15-fa1093dx,4.6,915.0,,USD,10.4,14.09,"From a rejuvenated Start menu, to new ways to connect to your favorite people, news, games, and content—Windows 11 is the place to think, express, and create in a natural way.","Reduce frustrating lag and image ghosting with a display that combines a 144Hz refresh rate and 1080p Full High Definition resolution for smooth, crisp gameplay."
Dell,i7435-A329BLU-PUS,4.6,254.0,,USD,8.92,12.36,"Windows 11 has all the power and security of Windows 10 with a redesigned and refreshed look. It also comes with new tools, sounds, and apps. Every detail has been considered. All of it comes together to bring you a refreshing experience on your PC","Equipped with a FHD+ IPS touch screen, the border-less visual effect minimizes distractions offering better cinema, document and web browsing experience"
ASUS,G814JZR-G18.I94080,5.0,1.0,,USD,1.21,11.57,"Family, friends, passions, music, creations, games – Windows 11 is the one place for it all. With a fresh new feel and tools that make it easier to be efficient, it has what you need for whatever’s next.","Power through any game or project with an Intel Core i9-14900HX processor, featuring up to a 65W TDP and a hybrid architecture built from the ground up for Windows 11. 8 Performance core (16 threads) and 16 efficiency cores."
HP,14-ek0073dx,4.6,356.0,,USD,8.27,12.68,"Experience the most secure Windows ever built with fast boot times, increased responsiveness, and added protection against phishing and malware.",12th Gen Intel Core processor distributes performance where you need it the most — saving you time and increasing your ability to do the things you actually want.
Acer,PH18-71-756U,4.6,121.0,,USD,12.27,15.94,"Windows 11 was designed with you at the center - to make life easier, more creative, secure, connected and fun! It's also faster with new features to help you get more done.","At 18 inches with a 16:10 aspect ratio, the pristine WUXGA 1920 x 1200 LCD panel – this display clocks in with a fast 165Hz refresh, 100% sRGB, 300nit brightness and 3ms Overdrive response time. The addition of NVIDIA Advanced Optimus and NVIDIA G-SYNC."
Lenovo,82V20006US,4.5,228.0,,USD,8.72,12.92,"Windows 11 brings back the Start Menu from Windows 7 and introduces new features, like the Edge Web browser that lets you markup Web pages on your screen.","Capacitive display responds to finger touches instead of pressure, recognizing a light swipe but not a standard stylus. IPS technology offers wide viewing angles. 2880 x 1620 3K resolution. LED backlight."
Microsoft,QLP-00001,4.5,59.0,,USD,8.2,11.3,Find the relevant information and ideas you need to power your own ingenuity. Copilot in Windows 11 can deliver answers that are more relevant to you(1).,Surface Pro 9 gives you the tablet flexibility you want and the laptop performance and battery life⁴ you need to move through your day — all in one ultra-portable device.
Dell,i5535-A933GRY-PUS,4.4,131.0,,USD,10.8,14.07,"Windows 11 has all the power and security of Windows 10 with a redesigned and refreshed look. It also comes with new tools, sounds, and apps. Every detail has been considered. All of it comes together to bring you a refreshing experience on your PC.",1920 x 1080 resolution showcases your games and HD movies with impressive color and clarity. Antireflective finish reduces eyestrain and widens the field of view.
HP OMEN,16-xf0033dx,4.7,122.0,,USD,10.21,14.53,"From a rejuvenated Start menu, to new ways to connect to your favorite people, news, games, and content—Windows 11 is the place to think, express, and create in a natural way.","Reduce frustrating lag and image ghosting with a display that combines a 165Hz refresh rate and 1080p Full High Definition resolution for smooth, crisp gameplay."
Lenovo,82VG0091US,3.9,404.0,,USD,9.29,14.18,"Experience the most secure Windows ever built with fast boot times, increased responsiveness, and added protection against phishing and malware.",Typical 1366 x 768 HD resolution. Energy-efficient LED backlight.
Dell,i7635-A503BLU-PUS,4.7,363.0,,USD,9.91,14.05,"Windows 11 brings back the Start Menu from Windows 7 and introduces new features, like the Edge Web browser that lets you markup Web pages on your screen.","Equipped with a FHD+ IPS touch screen, the border-less visual effect minimizes distractions offering better cinema, document and web browsing experience"
HP,16-f2023dx,4.7,193.0,,USD,9.66,14.09,"From a rejuvenated Start menu, to new ways to connect to your favorite people, news, games, and content—Windows 11 is the place to think, express, and create in a natural way.","The spectacular 3840 x 2400 resolution delivers your content in jaw-dropping quality with true-to-life definition and 178-degree wide-viewing angles. And with touch, you can control your PC right from the screen."
Alienware,AWM16-7602BLK-PUS,4.5,443.0,,USD,11.41,14.5,"Protect your data with enterprise-grade security, login from any device anywhere, and boost productivity with powerful management tools.",2560 x 1600 resolution delivers amazing color and clarity with nearly 2.8 times the pixel density of Full HD.
HP,15-fb1013dx,4.7,1097.0,,USD,10.04,14.09,"From a rejuvenated Start menu, to new ways to connect to your favorite people, news, games, and content—Windows 11 is the place to think, express, and create in a natural way.","Reduce frustrating lag and image ghosting with a display that combines a 144Hz refresh rate and 1080p Full High Definition resolution for smooth, crisp gameplay."
Acer,PHN16-71-50JG,4.7,423.0,,USD,11.02,14.18,"Windows 11 was designed with you at the center - to make life easier, more creative, secure, connected and fun! It's also faster with new features to help you get more done.","At 16” with a 16:10 aspect ratio, the pristine WUXGA (1920 x 1200) IPS panel has a fast 165Hz refresh rate, NVIDIA G-SYNC technology, 3ms Overdrive response time, 400nit Brightness and is 100% sRGB."
Razer,RZ09-0427NEM3-R3U1,4.2,48.0,,USD,8.66,12.59,The new GeForce RTX 3070 Ti is up to 70% faster than RTX 2070 SUPER laptops and can deliver 100 frames per second at 1440p resolution,Experience cutting-edge speed with the newly released AMD Ryzen 9 6900HX 8-Core CPU with up to 4.9GHz of Max Boost for unrivalled performance to take on the most demanding gaming and creative tasks
Dell,XPS9530-7701SLV-PUS,4.6,151.0,,USD,9.06,13.57,"Windows 11 has all the power and security of Windows 10 with a redesigned and refreshed look. It also comes with new tools, sounds, and apps. Every detail has been considered. All of it comes together to bring you a refreshing experience on your PC",1920 x 1200 resolution showcases your games and HD movies with impressive color and clarity. Antireflective finish reduces eyestrain and widens the field of view.
Lenovo,21B6S0TN00,4.0,31.0,,USD,8.58,12.0,"Windows 11 brings back the Start Menu from Windows 7 and introduces new features, like the Edge Web browser that lets you markup Web pages on your screen.","The 1920 x 1200 resolution boasts impressive color and clarity. Touch, tap, glide and make the most of Windows 11. IPS technology for wide viewing angles. Energy-efficient LED backlight."
Lenovo,82Y9000PUS,4.6,186.0,,USD,10.25,14.16,"Windows 11 brings back the Start Menu from Windows 7 and introduces new features, like the Edge Web browser that lets you markup Web pages on your screen.",Find the relevant information and ideas you need to power your own ingenuity. Copilot in Windows 11 can deliver answers that are more relevant to you.
HP,17-cs0013dx,4.5,30.0,,USD,7.53,10.91,With five versatile modes and integrated kickstand for flexible computing from anywhere.  The world’s first foldable PC with one and a half screens and a full-size detachable Bluetooth keyboard. Integrated kickstand supports viewing angles in desktop mode.,"From a rejuvenated Start menu, to new ways to connect to your favorite people, news, games, and content—Windows 11 is the place to think, express, and create in a natural way."
Lenovo,82XF001TUS,,,499.99,USD,9.88,14.02,16GB Soldered LPDDR5-5200,512GB SSD M.2 2242 PCIe 4.0x4 NVMe
Dell,G5535-A643GRY-PUS,,,1149.99,USD,10.8,14.07,"Windows 11 has all the power and security of Windows 10 with a redesigned and refreshed look. It also comes with new tools, sounds, and apps. Every detail has been considered. All of it comes together to bring you a refreshing experience on your PC.",1920 x 1080 resolution showcases your games and HD movies with impressive color and clarity. Antireflective finish reduces eyestrain and widens the field of view.
ASUS,M1605XA-EB96,3.0,1.0,,USD,9.82,14.2,"Family, friends, passions, music, creations, games – Windows 11 is the one place for it all. With a fresh new feel and tools that make it easier to be efficient, it has what you need for whatever’s next.",16” WUXGA (1920 x 1200) 16:10 aspect ratio display with ultra-slim NanoEdge bezels with 86% screen-to-body ratio
ASUS,G634JYR-XS97,5.0,1.0,,USD,,,"Windows 11 Pro includes BitLocker Drive Encryption for enhanced security and combines the power of Windows 10 with a redesigned, refreshed look. It introduces new tools, sounds, and apps, ensuring every detail has been carefully considered. Together, these elements create a refreshing experience on your PC.","The Nebula HDR badge means you are getting the highest tier panel, featuring Mini LED technology with up to 1110 nits brightness, 2000 dimming zones, QHD 240Hz/3ms, 100% DCI-P3 color with Pantone Validation, among other premium features."
ASUS,UP3404VA-DS54T-S,5.0,4.0,,USD,8.8,12.26,"Family, friends, passions, music, creations, games – Windows 11 is the one place for it all. With a fresh new feel and tools that make it easier to be efficient, it has what you need for whatever’s next.","14-inch WQXGA+ (2880 x 1800) OLED NanoEdge touchscreen, 90Hz refresh rate, with an expansive 16:10 aspect ratio, the main touchscreen is Dolby Vision certified and PANTONE Validated to ensure accurate color rendering"
HP,16-f2013dx,4.7,435.0,,USD,9.66,14.09,"From a rejuvenated Start menu, to new ways to connect to your favorite people, news, games, and content—Windows 11 is the place to think, express, and create in a natural way.","3072 x 1920 resolution delivers incredible details and lifelike colors. And with touch, you can control your PC right from the screen."
HP,7P3B6UT#ABA,,,577.99,USD,9.0,14.0,"Microsoft Windows 11 Pro gives you a user-friendly interface with useful features like the taskbar turning into the dock, the glass-like desktop, your favorite old widgets, and conveniently accessible snap layouts and groups that align side by side.",Anti-glare Screen reduces eyestrain and widens the field of view. The 1920 x 1080 resolution boasts impressive color and clarity
ASUS,FX507ZV-F15.I74060,4.8,43.0,,USD,13.97,9.92,"Family, friends, passions, music, creations, games – Windows 11 is the one place for it all. With a fresh new feel and tools that make it easier to be efficient, it has what you need for whatever’s next.","The 144Hz Full HD 1920x1080 display features adaptive sync to minimize screen tearing, while playing your favorite games."
HP OMEN,16-wd0013dx,4.6,363.0,,USD,10.21,14.53,"From a rejuvenated Start menu, to new ways to connect to your favorite people, news, games, and content—Windows 11 is the place to think, express, and create in a natural way.","Reduce frustrating lag and image ghosting with a display that combines a 144Hz refresh rate and 1080p Full High Definition resolution for smooth, crisp gameplay."
ASUS,M6500XV-EB96,4.5,27.0,,USD,9.22,14.17,"Family, friends, passions, music, creations, games – Windows 11 is the one place for it all. With a fresh new feel and tools that make it easier to be efficient, it has what you need for whatever’s next.",15.6” FHD (1920 x 1080) 16:9 aspect ratio with 144Hz refresh rate and ultra-slim NanoEdge bezels
Lenovo,83DF000CUS,5.0,3.0,,USD,10.25,14.31,"Windows 11 brings back the Start Menu from Windows 7 and introduces new features, like the Edge Web browser that lets you markup Web pages on your screen.",Find the relevant information and ideas you need to power your own ingenuity. Copilot in Windows 11 can deliver answers that are more relevant to you.
Lenovo,82LV003WUS,3.0,2.0,143.99,USD,9.29,14.18,4GB Soldered DDR4-2933,128GB eMMC 5.1
Alienware,AWX16R1-9855SLV-PUS,4.4,7.0,,USD,11.41,14.36,"Windows 11 has all the power and security of Windows 10 with a redesigned and refreshed look. It also comes with new tools, sounds, and apps. Every detail has been considered. All of it comes together to bring you a refreshing experience on your PC.",Experience fast refresh rates for smooth gaming and stunning on-screen action. Each display has a 3ms response time and refresh rates from 165Hz on FHD+ resolution.
HP,NV17-CR1010NR,4.5,4.0,,USD,10.2,15.68,"From a rejuvenated Start menu, to new ways to connect to your favorite people, news, games, and content—Windows 11 is the place to think, express, and create in a natural way",Offering more than just a performance score. This 13th Gen Intel Core processor advances real-world computing and delivers more ultra-efficient multi-tasking.
ASUS,FX507ZI-F15.I74070,4.7,552.0,,USD,13.97,9.92,"Family, friends, passions, music, creations, games – Windows 11 is the one place for it all. With a fresh new feel and tools that make it easier to be efficient, it has what you need for whatever’s next.",Power your games with the latest Intel Core i7-12700H CPU.
ASUS,GV601VV-X16.I94060,4.3,12.0,,USD,13.98,9.57,"Family, friends, passions, music, creations, games – Windows 11 is the one place for it all. With a fresh new feel and tools that make it easier to be efficient, it has what you need for whatever’s next.",The 240Hz ultra bright 500nits display features a 16:10 2560x1440 resolution that gives you more space for toolbars and tabs and 100% DCI-P3 coverage for cinema quality colors.
Samsung,NP730QFG-KA1US,4.8,159.0,,USD,11.98,7.95,"From all night rabbit holes to hobbies to intensive DIY projects, explore your world at the speed of thought. This processor can keep up with your curiosity.","Explore your passions from just about anywhere with Galaxy Book3 360. Featuring a thin, lightweight design that’s made to move with you, this PC is always ready to help you pursue your interests."
GIGABYTE,AORUS 7 9KF-E3US513SH,4.4,5.0,,USD,10.0,15.7,Windows 11 Home,"17.3""FHD 1920x1080, 360Hz, 100% sRGB, TÜV Rheinland Certified"
HP,822P5UT#ABA,5.0,1.0,899.99,USD,9.0,14.0,"Microsoft Windows 11 Pro gives you a user-friendly interface with useful features like the taskbar turning into the dock, the glass-like desktop, your favorite old widgets, and conveniently accessible snap layouts and groups that align side by side.",Anti-glare Screen reduces eyestrain and widens the field of view. The 1920 x 1080 resolution boasts impressive color and clarity
Alienware,AWM18-A537BLK-PUS,4.0,24.0,,USD,12.59,16.15,"Windows 11 has all the power and security of Windows 10 with a redesigned and refreshed look. It also comes with new tools, sounds, and apps. Every detail has been considered. All of it comes together to bring you a refreshing experience on your PC.","Imagine, design and create without boundaries. The powerful AMD Ryzen 9 processor features machine intelligence that anticipates your needs. Discover true responsiveness with 12 cores and 24 threads for ultimate performance."
ASUS,GA402XY-XS96,4.5,28.0,,USD,8.94,12.28,"Windows 11 has all the power and security of Windows 10 with a redesigned and refreshed look. It also comes with new tools, sounds, and apps. Every detail has been considered. All of it comes together to bring you a refreshing experience on your PC.",ROG Nebula is the new standard of gaming displays. The 165Hz ultra bright 500 nits display features a Touchscreen QHD 16:10 2560x1600 resolution that gives you a superb gaming and creating experience.
Dell,i7635-A497BLU-PUS,4.7,96.0,,USD,9.91,14.05,"Windows 11 brings back the Start Menu from Windows 7 and introduces new features, like the Edge Web browser that lets you markup Web pages on your screen.","Equipped with a FHD+ IPS touch screen, the border-less visual effect minimizes distractions offering better cinema, document and web browsing experience"
ASUS,GU604VY-XS97,4.3,28.0,,USD,13.98,9.7,"Work, family, friends, passions, music, creations, games – Windows 11 Professional is the one place for it all. With a fresh new feel and tools that make it easier to be efficient, it has what you need for whatever’s next.",The 240Hz ultra bright 1100nits display features a 16:10 2560x1440 (QHD) resolution that gives you more space for toolbars and tabs. 1024 local dimming zones assist in an exception HDR experiece. Don't worry about ghosting with the 3ms response time.
ASUS,G713PI-G17.R94070,4.5,38.0,,USD,11.1,11.57,"Family, friends, passions, music, creations, games – Windows 11 is the one place for it all. With a fresh new feel and tools that make it easier to be efficient, it has what you need for whatever’s next.",The 144Hz ultra bright display features a FHD 16:10 1920x1080 resolution that gives you more space for toolbars and tabs and 100% DCI-P3 coverage for cinema quality colors.
HP OMEN,16-u0013dx,4.5,55.0,,USD,10.59,14.04,"From a rejuvenated Start menu, to new ways to connect to your favorite people, news, games, and content—Windows 11 is the place to think, express, and create in a natural way.","16-inch diagonal, WQXGA (2560 x 1600), 240Hz, 7 ms response time, IPS, micro-edge, anti-glare, Low Blue Light"
Razer,RZ09-0427PEA3-R3U1,5.0,2.0,,USD,8.66,12.59,"Bringing the flagship 80 Ti class of GPUs to laptops for the first time, the RTX 3080Ti features 16GB of the fastest GDDR6 memory ever shipped in a laptop and delivers higher performance than the desktop TITAN RTX.",Experience cutting-edge speed with the newly released AMD Ryzen 9 6900HX 8-Core CPU with up to 4.9GHz of Max Boost for unrivalled performance to take on the most demanding gaming and creative tasks
ASUS,G834JZR-XS96,4.7,3.0,,USD,11.57,15.71,"Windows 11 Pro features BitLocker Drive Encryption for enhanced security and combines the power of Windows 10 with a redesigned, refreshed look. It introduces new tools, sounds, and apps, ensuring every detail has been carefully considered. Together, these elements create a refreshing experience on your PC","The Nebula HDR badge means you are getting the highest tier panel, featuring Mini LEDS with up to 110 nits brightness, 2000 dimming zones, QHD 240Hz/3ms, 100% DCI-P3 color with Pantone Validation, among other premium features."
GIGABYTE,G6 KF-H3US864KH,,,1199.99,USD,10.4,14.2,Windows 11 Home AD,"16.0"" 16:10 WUXGA 1920x1200, 165Hz"
ASUS,GU604VZ-CS94,4.1,39.0,,USD,13.98,9.7,"Family, friends, passions, music, creations, games – Windows 11 is the one place for it all. With a fresh new feel and tools that make it easier to be efficient, it has what you need for whatever’s next.",The 240Hz ultra bright 1100nits display features a 16:10 2560x1600 (QHD) resolution that gives you more space for toolbars and tabs. 1024 local dimming zones assist in an exception HDR experiece. Don't worry about ghosting with the 3ms response time.
ASUS,G634JZR-XS96,4.8,4.0,,USD,,,"Windows 11 Pro includes BitLocker Drive Encryption for enhanced security and combines the power of Windows 10 with a redesigned, refreshed look. It introduces new tools, sounds, and apps, ensuring every detail has been carefully considered. Together, these elements create a refreshing experience on your PC.","The Nebula HDR badge means you are getting the highest tier panel, featuring Mini LEDS with up to 1110 nits brightness, 2000 dimming zones, QHD 240Hz/3ms, 100% DCI-P3 color with Pantone Validation, among other premium features."
Dell,5400,5.0,6.0,394.99,USD,,,"Built for business. Protect your data with enterprise-grade security, log in from any device anywhere, and boost productivity with powerful management tools.",The 1920 x 1080 resolution showcases your games and HD movies with impressive color and clarity.
Lenovo,83BV0000US,4.5,15.0,,USD,8.8,12.87,"Windows 11 brings back the Start Menu from Windows 7 and introduces new features, like the Edge Web browser that lets you markup Web pages on your screen.",Capacitive and digitizer display responds to both stylus and finger touches. 3072 x 1920 resolution delivers amazing color and clarity with nearly 2.8 times the pixel density of Full HD. SuperBright technology.
Dell,XPS9730-7695SLV-PUS,4.8,8.0,,USD,9.76,14.74,"Windows 11 has all the power and security of Windows 10 with a redesigned and refreshed look. It also comes with new tools, sounds, and apps. Every detail has been considered. All of it comes together to bring you a refreshing experience on your PC",Natural finger-touch navigation makes the most of Windows 11. 3840 x 2400 resolution showcases your games and HD movies with impressive color and clarity. Antireflective finish reduces eyestrain and widens the field of view.
HP,840G6.i5.16.256,5.0,2.0,296.99,USD,,,256 GB SSD of storage.,Multitasking is easy with 16 GB of RAM
Dell,7400,4.0,9.0,674.99,USD,,,"Built for business. Protect your data with enterprise-grade security, log in from any device anywhere, and boost productivity with powerful management tools.",Natural finger-touch navigation makes the most of Windows 11. The 1920 x 1080 resolution boasts impressive color and clarity.
HP,14-ef2023dx,4.7,100.0,,USD,8.68,11.73,"From a rejuvenated Start menu, to new ways to connect to your favorite people, news, games, and content—Windows 11 is the place to think, express, and create in a natural way.",See more of your screen with less scrolling with a 3:2 aspect ratio that delivers an optimized portrait view for a more comfortable way to read and browse.
ASUS,K3605VU-ES94,4.5,2.0,,USD,9.81,14.12,"Family, friends, passions, music, creations, games – Windows 11 is the one place for it all. With a fresh new feel and tools that make it easier to be efficient, it has what you need for whatever’s next.","16” 3200 x 2000 OLED 16:10 aspect ratio with ultra-slim NanoEdge bezels, 120Hz refresh rate, 0.2ms response time, 100% DCI-P3 color gamut, 1,000,000:1 Contrast ratio, VESA CERTIFIED Display HDR True Black 500"
ASUS,G814JIR-XS96,5.0,1.0,,USD,13.8,18.1,"Windows 11 Pro includes BitLocker Drive Encryption for enhanced security and combines the power of Windows 10 with a redesigned, refreshed look. It introduces new tools, sounds, and apps, ensuring every detail has been carefully considered. Together, these elements create a refreshing experience on your PC","The Nebula standard guarantees a premium display with high specs in all fronts for the best visuals no matter the task. Featuring 2.5k resolution, 240Hz/3ms, 2560 x 1600, 16:10 aspect ratio, 100% DCI-P3, Pantone Validation, 500 nits, among other premium features on the Strix G18."
Lenovo,21JN003XUS,4.5,4.0,1039.99,USD,9.75,0.78,"Experience enhanced productivity and advanced security with Windows 11 Pro. Enjoy a sleek interface, seamless multitasking, and robust enterprise-grade features for optimized workflow, increased efficiency, and peace of mind, empowering you to achieve more with confidence.","Indulge in breathtaking visuals on a 16"" WUXGA IPS display, boasting a crisp 1920x1200 resolution and 300nits brightness. Experience exceptional clarity and vibrant colors for an immersive and eye-catching viewing experience on your laptop."
